curriculum_year,major,semester,semester_code,code,name,sks,type,dingdong_url
2019,IF,4,Genap,IF2240,Basis Data,3,Mandatory,https://drive.google.com/drive/folders/1rYtB99ARSfMCJmNO0-0ilRokBAsv5nPY?usp=drive_link
2019,IF,4,Genap,IF2250,Rekayasa Perangkat Lunak,3,Mandatory,https://drive.google.com/drive/folders/1vhi0tIs90D3sWQZNr18FfTgHc8t-wis-?usp=drive_link
2019,IF,5,Ganjil,IF3110,Pengembangan Aplikasi Berbasis Web,2,Mandatory,https://drive.google.com/drive/folders/1_Tc6R9a3GG_4NliM2My7Nx6_msSQkSp_?usp=drive_link
2019,IF,5,Ganjil,IF3130,Jaringan Komputer,3,Mandatory,https://drive.google.com/drive/folders/1uHyH6-V650uSw4FBsrC5rq_yrQktxj7s?usp=drive_link
2019,IF,5,Ganjil,IF3140,Manajemen Basis Data,2,Mandatory,https://drive.google.com/drive/folders/16_Qg6vRZL81XMs-UnBPxduNmIrNilDgx?usp=drive_link
2019,IF,5,Ganjil,IF3141,Sistem Informasi,3,Mandatory,https://drive.google.com/drive/folders/1s4PLnekA2nP-9K8aggwIg_mapKsqjcsN?usp=drive_link
2019,IF,5,Ganjil,IF3150,Manajemen Proyek Perangkat Lunak,2,Mandatory,https://drive.google.com/drive/folders/1u7AzJl-sNaZ1vKlB_8qZOLEXXVqrBrMk?usp=drive_link
2019,IF,5,Ganjil,IF3151,Interaksi Manusia Komputer,3,Mandatory,https://drive.google.com/drive/folders/13h6tTTBxFJjPBF7PH72aeobdVP-f-r64?usp=drive_link
2019,IF,5,Ganjil,IF3170,Inteligensi Buatan,3,Mandatory,https://drive.google.com/drive/folders/1Zk8QmxKq8I6UNv-cesHjNhhJe7C6xkTP?usp=drive_link
2019,IF,6,Genap,IF3210,Pengembangan Aplikasi pada Platform Khusus,3,Mandatory,https://drive.google.com/drive/folders/1VDq8bgyJRDNeyhza8Bb7xgWJdkn4HpNi?usp=drive_link
2019,IF,6,Genap,IF3230,Sistem Paralel dan Terdistribusi,3,Mandatory,https://drive.google.com/drive/folders/1UwP_88jNH6fESsrhx5lqZpgPeu5wQfX7?usp=drive_link
2019,IF,6,Genap,IF3250,Proyek Perangkat Lunak,4,Mandatory,https://drive.google.com/drive/folders/1Hn1aOUZivDsMZR4CE65OJ6zcKdcJTYoI?usp=drive_link
2019,IF,6,Genap,IF3260,Grafika Komputer,3,Mandatory,https://drive.google.com/drive/folders/1S1gB1YoQhdodlQTX1Ggv5KySrYPDwPDX?usp=drive_link
2019,IF,6,Genap,IF3270,Pembelajaran Mesin,2,Mandatory,https://drive.google.com/drive/folders/1LjnCw71WPqyu74u826jhJkgawv2dgPEz?usp=drive_link
2019,IF,6,Genap,IF3280,Socio-informatika dan Profesionalisme,3,Mandatory,https://drive.google.com/drive/folders/1N6lmHvCDu_i2O-lytag3tMToNY8cQyRf?usp=drive_link
